34937;# doc = travelling.2.txt;;;;;;;;;;;;;;;;
34938;# speaker = Марина;;;;;;;;;;;;;;;;
34939;# sent = 2618;;;;;;;;;;;;;;;;
35425;;бросающаяся;БРОСАТЬСЯ;PARTCP ipf inpraes nom sg plen f act -;;; такая , _бросающаяся_ в глаза неухоженность;я;с;я;а;щ;ю;PARTCP;БРОСАТЬСЯ;PARTCP ipf inpraes nom sg plen f act -;Я
35426;;в;В;PR;;;такая , бросающаяся _в_ глаза неухоженность улиц;в;;;;;;PR;В;PR;В
35427;;глаза;ГЛАЗ;S m inan acc pl;;;, бросающаяся в _глаза_ неухоженность улиц ,;а;з;а;л;г;;S;ГЛАЗ;S m inan acc pl;З
35428;;неухоженность;НЕУХОЖЕННОСТЬ;S f inan nom sg;;;бросающаяся в глаза _неухоженность_ улиц , э;ь;т;с;о;н;н;S;НЕУХОЖЕННОСТЬ;S f inan acc sg;Ь
35429;;улиц;УЛИЦА;S f inan gen pl;;;в глаза неухоженность _улиц_ , э ,;ц;и;л;у;;;S;УЛИЦА;S f inan gen pl;А
35430;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35431;;э;Э-Э;INTJ;;;неухоженность улиц , _э_ , неудобство транспорта;э;;;;;;INTJ;Э;S - - nonflex -;Э
35432;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35433;;неудобство;НЕУДОБСТВО;S n inan nom sg;;;, э , _неудобство_ транспорта общественного ,;о;в;т;с;б;о;S;НЕУДОБСТВО;S n inan nom sg;О
35434;;транспорта;ТРАНСПОРТ;S m inan gen sg;;;э , неудобство _транспорта_ общественного , что;а;т;р;о;п;с;S;ТРАНСПОРТ;S m inan gen sg;Т
35435;;общественного;ОБЩЕСТВЕННЫЙ;A - gen sg plen m -;;;, неудобство транспорта _общественного_ , что еще;о;г;о;н;н;е;A;ОБЩЕСТВЕННЫЙ;A - gen sg plen m -;Й
35436;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35437;;что;ЧТО;SPRO n inan nom sg;;;транспорта общественного , _что_ еще ... ;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35438;;еще;ЕЩЕ;ADV -;;;общественного , что _еще_ ...  ;е;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
35439;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35440;;;;;;;;;;;;;;;;;
35441;# sent = 2647;;;;;;;;;;;;;;;;
35442;;Ну;НУ;PART;;;...   _Ну_ и в то;у;н;;;;;PART;НУ;PART;У
35443;;и;И;CONJ;;;  Ну _и_ в то же;и;;;;;;CONJ;И;CONJ;И
35444;;в;В;PR;;; Ну и _в_ то же время;в;;;;;;PR;В;PR;В
35445;;то;ТОТ;APRO - acc sg plen n inan;;;Ну и в _то_ же время ;о;т;;;;;A;ТОТ;A - acc sg plen n inan;Т
35446;;же;ЖЕ;PART;;;и в то _же_ время  кнортрастээ;е;ж;;;;;PART;ЖЕ;PART;Е
35447;;время;ВРЕМЯ;S n inan acc sg;;;в то же _время_  кнортрастээ ;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg;Я
35448;"<distinct form=""";;;;;;;;;;;;;;;;
35449;<dist>;кнортрастээ;;;;;;;;;;;;;;;
35450;""">";;;;;;;;;;;;;;;;
35451;;контраст;КОНТРАСТ;S m inan nom sg;;; кнортрастээ  _контраст_  : очень;т;с;а;р;т;н;S;КОНТРАСТ;S m inan nom sg;Т
35452;</distinct>;;;;;;;;;;;;;;;;
35453;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
35454;;очень;ОЧЕНЬ;ADV -;;;контраст  : _очень_ красивые исторические места;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35455;;красивые;КРАСИВЫЙ;A - nom pl plen - inan;;; : очень _красивые_ исторические места .;е;ы;в;и;с;а;A;КРАСИВЫЙ;A - acc pl plen - inan;Й
35456;;исторические;ИСТОРИЧЕСКИЙ;A - nom pl plen - inan;;;: очень красивые _исторические_ места . ;е;и;к;с;е;ч;A;ИСТОРИЧЕСКИЙ;A - acc pl plen - inan;Й
35457;;места;МЕСТО;S n inan nom pl;;;очень красивые исторические _места_ .  ;а;т;с;е;м;;S;МЕСТО;S n inan acc pl;О
35458;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35459;;;;;;;;;;;;;;;;;
35460;# sent = 2648;;;;;;;;;;;;;;;;
35461;;Э;Э-Э;INTJ;;;.   _Э_ , что еще;э;;;;;;INTJ;Э;INTJ;Э
35462;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35463;;что;ЧТО;SPRO n inan nom sg;;; Э , _что_ еще ? ;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35464;;еще;ЕЩЕ;ADV -;;;Э , что _еще_ ?  ;е;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
35465;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
35466;;;;;;;;;;;;;;;;;
35467;# sent = 2649;;;;;;;;;;;;;;;;
35468;;Анапа;АНАПА;S f inan nom sg;;;?   _Анапа_ !  ;а;п;а;н;а;;S;АНАПА;S f inan nom sg;А
35469;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
35470;;;;;;;;;;;;;;;;;
35471;# sent = 2650;;;;;;;;;;;;;;;;
35472;"<distinct form=""";;;;;;;;;;;;;;;;
35473;<dist>;воот;;;;;;;;;;;;;;;
35474;""">";;;;;;;;;;;;;;;;
35475;;Вот;ВОТ;PART;;; воот  _Вот_  , ;т;о;в;;;;PART;ВОТ;PART;Т
35476;</distinct>;;;;;;;;;;;;;;;;
35477;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35478;"<distinct form=""";;;;;;;;;;;;;;;;
35479;<dist>;Анааапа;;;;;;;;;;;;;;;
35480;""">";;;;;;;;;;;;;;;;
35481;;Анапа;АНАПА;S f inan nom sg;;; Анааапа  _Анапа_  ! ;а;п;а;н;а;;S;АНАПА;S f inan nom sg;А
35482;</distinct>;;;;;;;;;;;;;;;;
35483;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
35484;;;;;;;;;;;;;;;;;
35485;# sent = 2651;;;;;;;;;;;;;;;;
35486;;Первый;ПЕРВЫЙ;ANUM - acc sg plen m -;;;!   _Первый_ раз в Анапе;й;ы;в;р;е;п;A;ПЕРВЫЙ;A - nom sg plen m -;Й
35487;;раз;РАЗ;S m inan acc sg;;;  Первый _раз_ в Анапе мы;з;а;р;;;;S;РАЗ;S m inan acc sg;З
35488;;в;В;PR;;; Первый раз _в_ Анапе мы были;в;;;;;;PR;В;PR;В
35489;;Анапе;АНАПА;S f inan loc sg;;;Первый раз в _Анапе_ мы были ,;е;п;а;н;а;;S;АНАПА;S f inan loc sg;А
35490;;мы;МЫ;SPRO pl 1p - nom;;;раз в Анапе _мы_ были , когда;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
35491;;были;БЫТЬ;V ipf praet pl indic - -;;;в Анапе мы _были_ , когда учились;и;л;ы;б;;;V;БЫТЬ;V ipf praet pl indic - -;Ь
35492;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35493;;когда;КОГДА;CONJ;;;мы были , _когда_ учились на четвертом;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
35494;;учились;УЧИТЬСЯ;V ipf praet pl indic - -;;;были , когда _учились_ на четвертом курсе;ь;с;и;л;и;ч;V;УЧИТЬСЯ;V ipf praet pl indic - -;Я
35495;;на;НА;PR;;;, когда учились _на_ четвертом курсе ,;а;н;;;;;PR;НА;PR;А
35496;;четвертом;ЧЕТВЕРТЫЙ;ANUM - loc sg plen m -;;;когда учились на _четвертом_ курсе , поехали;м;о;т;р;е;в;ANUM;ЧЕТВЕРТЫЙ;A - loc sg plen m -;Й
35497;;курсе;КУРС;S m inan loc sg;;;учились на четвертом _курсе_ , поехали в;е;с;р;у;к;;S;КУРС;S m inan loc sg;С
35498;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35499;;поехали;ПОЕХАТЬ;V pf praet pl indic - -;;;четвертом курсе , _поехали_ в сентябре -;и;л;а;х;е;о;V;ПОЕХАТЬ;V pf praet pl indic - -;Ь
35500;;в;В;PR;;;курсе , поехали _в_ сентябре - да;в;;;;;;PR;В;PR;В
35501;;сентябре;СЕНТЯБРЬ;S m inan loc sg;;;, поехали в _сентябре_ - да ,;е;р;б;я;т;н;S;СЕНТЯБРЬ;S m inan loc sg;Ь
35502;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
35503;;да;ДА;CONJ;;;в сентябре - _да_ , могли себе;а;д;;;;;CONJ;ДА;CONJ;А
35504;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35505;;могли;МОЧЬ;V ipf praet pl indic - -;;;- да , _могли_ себе позволить -;и;л;г;о;м;;V;МОЧЬ;V ipf praet pl indic - -;Ь
35506;;себе;СЕБЯ;SPRO - - - dat;;;да , могли _себе_ позволить - в;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - dat;Я
35507;;позволить;ПОЗВОЛИТЬ;V pf - - inf - -;;;, могли себе _позволить_ - в преподавательску;ь;т;и;л;о;в;V;ПОЗВОЛИТЬ;V pf - - inf - -;Ь
35508;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
35509;;в;В;PR;;;себе позволить - _в_ преподавательску смену .;в;;;;;;PR;В;PR;В
35510;;преподавательску;ПРЕПОДАВАТЕЛЬСКАЯ;A - acc sg plen f;distort;;позволить - в _преподавательску_ смену . ;у;к;с;ь;л;е;S;ПРЕПОДАВАТЕЛЬСК;S m inan dat sg;К
35511;;смену;СМЕНА;S f inan acc sg;;;- в преподавательску _смену_ .  ;у;н;е;м;с;;S;СМЕНА;S f inan acc sg;А
35512;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35513;;;;;;;;;;;;;;;;;
35514;# sent = 2652;;;;;;;;;;;;;;;;
35515;;Там;ТАМ;ADV -;;;.   _Там_ встретили своих преподавателей;м;а;т;;;;ADV;ТАМ;ADV -;М
35516;;встретили;ВСТРЕТИТЬ;V pf praet pl indic - -;;;  Там _встретили_ своих преподавателей ,;и;л;и;т;е;р;V;ВСТРЕТИТЬ;V pf praet pl indic - -;Ь
35517;;своих;СВОЙ;APRO - acc pl plen - anim;;; Там встретили _своих_ преподавателей , аспирантов;х;и;о;в;с;;APRO;СВОЙ;A - acc pl plen - anim;Й
35518;;преподавателей;ПРЕПОДАВАТЕЛЬ;S m anim acc pl;;;Там встретили своих _преподавателей_ , аспирантов ,;й;е;л;е;т;а;S;ПРЕПОДАВАТЕЛЬ;S m anim gen pl;Ь
35519;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35520;;аспирантов;АСПИРАНТ;S m anim acc pl;;;своих преподавателей , _аспирантов_ , и на;в;о;т;н;а;р;S;АСПИРАНТ;S m anim gen pl;Т
35521;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35522;;и;И;CONJ;;;, аспирантов , _и_ на вопрос ,;и;;;;;;CONJ;И;CONJ;И
35523;;на;НА;PR;;;аспирантов , и _на_ вопрос , а;а;н;;;;;PR;НА;PR;А
35524;;вопрос;ВОПРОС;S m inan acc sg;;;, и на _вопрос_ , а что;с;о;р;п;о;в;S;ВОПРОС;S m inan acc sg;С
35525;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35526;;а;А;CONJ;;;на вопрос , _а_ что мы здесь;а;;;;;;CONJ;А;CONJ;А
35527;;что;ЧТО;CONJ;;;вопрос , а _что_ мы здесь делаем;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35528;;мы;МЫ;SPRO pl 1p - nom;;;, а что _мы_ здесь делаем ,;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
35529;;здесь;ЗДЕСЬ;ADV -;;;а что мы _здесь_ делаем , мы;ь;с;е;д;з;;ADV;ЗДЕСЬ;ADV -;Ь
35530;;делаем;ДЕЛАТЬ;V ipf praes pl indic - 1p;;;что мы здесь _делаем_ , мы ответили;м;е;а;л;е;д;V;ДЕЛАТЬ;V ipf praes pl indic - 1p;Ь
35531;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35532;;мы;МЫ;SPRO pl 1p - nom;;;"здесь делаем , _мы_ ответили : """;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
35533;;ответили;ОТВЕТИТЬ;V pf praet pl indic - -;;;"делаем , мы _ответили_ : "" Отдыхаем";и;л;и;т;е;в;V;ОТВЕТИТЬ;V pf praet pl indic - -;Ь
35534;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
35535;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
35536;;Отдыхаем;ОТДЫХАТЬ;V ipf praes pl indic - 1p;;;"ответили : "" _Отдыхаем_ ! "" .";м;е;а;х;ы;д;V;ОТДЫХАТЬ;V ipf praes pl indic - 1p;Ь
35537;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
35538;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
35539;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35540;;;;;;;;;;;;;;;;;
35541;# sent = 2653;;;;;;;;;;;;;;;;
35542;;Погода;ПОГОДА;S f inan nom sg;;;.   _Погода_ была не всегда;а;д;о;г;о;п;S;ПОГОДА;S f inan nom sg;А
35543;;была;БЫТЬ;V ipf praet sg indic f -;;;  Погода _была_ не всегда хорошая;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
35544;;не;НЕ;PART;;; Погода была _не_ всегда хорошая ,;е;н;;;;;PART;НЕ;PART;Е
35545;;всегда;ВСЕГДА;ADV -;;;Погода была не _всегда_ хорошая , поэтому;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -;А
35546;;хорошая;ХОРОШИЙ;A - nom sg plen f -;;;была не всегда _хорошая_ , поэтому отдыхали;я;а;ш;о;р;о;A;ХОРОШИЙ;A - nom sg plen f -;Й
35547;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35548;;поэтому;ПОЭТОМУ;ADV -;;;всегда хорошая , _поэтому_ отдыхали мы ...;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -;У
35549;;отдыхали;ОТДЫХАТЬ;V ipf praet pl indic - -;;;хорошая , поэтому _отдыхали_ мы ... э;и;л;а;х;ы;д;V;ОТДЫХАТЬ;V ipf praet pl indic - -;Ь
35550;;мы;МЫ;SPRO pl 1p - nom;;;, поэтому отдыхали _мы_ ... э ...;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
35551;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35552;;э;Э-Э;INTJ;;;отдыхали мы ... _э_ ... на море;э;;;;;;NONLEX;Э;NONLEX;Э
35553;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35554;;на;НА;PR;;;... э ... _на_ море ... в;а;н;;;;;PR;НА;PR;А
35555;;море;МОРЕ;S m inan loc sg;;;э ... на _море_ ... в общем;е;р;о;м;;;S;МОРЕ;S m inan gen sg;Е
35556;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35557;;в;В;PR;;;на море ... _в_ общем , на;в;;;;;;PR;В;PR;В
35558;;общем;ОБЩИЙ;A - loc sg plen m -;;;море ... в _общем_ , на море;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
35559;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35560;;на;НА;PR;;;в общем , _на_ море ходили редко;а;н;;;;;PR;НА;PR;А
35561;;море;МОРЕ;S n inan loc sg;;;общем , на _море_ ходили редко ,;е;р;о;м;;;S;МОРЕ;S n inan loc sg;Е
35562;;ходили;ХОДИТЬ;V ipf praet pl indic - -;;;, на море _ходили_ редко , потому что;и;л;и;д;о;х;V;ХОДИТЬ;V ipf praet pl indic - -;Ь
35563;;редко;РЕДКО;ADV -;;;на море ходили _редко_ , потому что было;о;к;д;е;р;;ADV;РЕДКО;ADV -;О
35564;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35565;;потому что;потому что;CONJ;;;ходили редко , _потому что_ было холодно ,;о;т;ч; ;у;м;CONJ;потому что;CONJ;о
35566;;было;БЫТЬ;V ipf praet sg indic n -;;;редко , потому что _было_ холодно , вот;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
35567;;холодно;ХОЛОДНО;PRAEDIC -;;;, потому что было _холодно_ , вот .;о;н;д;о;л;о;ADV;ХОЛОДНО;ADV -;О
35568;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35569;;вот;ВОТ;PART;;;было холодно , _вот_ .  ;т;о;в;;;;PART;ВОТ;PART;Т
35570;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35571;;;;;;;;;;;;;;;;;
35572;# sent = 2654;;;;;;;;;;;;;;;;
35573;;Что;ЧТО;SPRO n inan acc sg;;;.   _Что_ еще рассказать ...;о;т;ч;;;;SPRO;ЧТО;S n - nom sg;О
35574;;еще;ЕЩЕ;ADV -;;;  Что _еще_ рассказать ... ;е;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
35575;;рассказать;РАССКАЗАТЬ;V pf - - inf - -;;; Что еще _рассказать_ ...  ;ь;т;а;з;а;к;V;РАССКАЗАТЬ;V pf - - inf - -;Ь
35576;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35577;;;;;;;;;;;;;;;;;
35578;# sent = 2655;;;;;;;;;;;;;;;;
35579;# speaker = Марина;;;;;;;;;;;;;;;;
35580;# sent = 2656;;;;;;;;;;;;;;;;
35581;;Ну;НУ;PART;;;   _Ну_ а в каких;у;н;;;;;PART;НУ;PART;У
35582;;а;А;CONJ;;;  Ну _а_ в каких ,;а;;;;;;CONJ;А;CONJ;А
35583;;в;В;PR;;; Ну а _в_ каких , может;в;;;;;;PR;В;PR;В
35584;;каких;КАКОЙ;APRO - loc pl plen - -;;;Ну а в _каких_ , может быть;х;и;к;а;к;;APRO;КАКОЙ;A - loc pl plen - -;Й
35585;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35586;;может;МОЧЬ;V ipf praes sg indic - 3p;;;в каких , _может_ быть , городах;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p;Ь
35587;;быть;БЫТЬ;V ipf - - inf - -;;;каких , может _быть_ , городах хотела;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -;Ь
35588;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35589;;городах;ГОРОД;S m inan loc pl;;;может быть , _городах_ хотела бы побывать;х;а;д;о;р;о;S;ГОРОД;S m inan loc pl;Д
35590;;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;;быть , городах _хотела_ бы побывать ?;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -;Ь
35591;;бы;БЫ;PART;;;, городах хотела _бы_ побывать ? ;ы;б;;;;;PART;БЫ;PART;Ы
35592;;побывать;ПОБЫВАТЬ;V pf - - inf - -;;;городах хотела бы _побывать_ ?  ;ь;т;а;в;ы;б;V;ПОБЫВАТЬ;V pf - - inf - -;Ь
35593;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
35594;;;;;;;;;;;;;;;;;
35595;# sent = 2657;;;;;;;;;;;;;;;;
35596;# speaker = Алёна;;;;;;;;;;;;;;;;
35597;# sent = 2658;;;;;;;;;;;;;;;;
35598;;Хотела;ХОТЕТЬ;V ipf praet sg indic f -;;;   _Хотела_ бы ? ..;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -;Ь
35599;;бы;БЫ;PART;;;  Хотела _бы_ ? .. ;ы;б;;;;;PART;БЫ;PART;Ы
35600;;?;?..;PUNCT;;;;;;;;;;PUNCT;;;
35601;;..;..;PUNCT;;;;;;;;;;PUNCT;;;
35602;;;;;;;;;;;;;;;;;
35603;# sent = 2659;;;;;;;;;;;;;;;;
35604;;Я;Я;SPRO sg 1p - nom;;;..   _Я_ бы хотела бы;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35605;;бы;БЫ;PART;;;  Я _бы_ хотела бы съездить;ы;б;;;;;PART;БЫ;PART;Ы
35606;;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;; Я бы _хотела_ бы съездить на;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -;Ь
35607;;бы;БЫ;PART;;;Я бы хотела _бы_ съездить на Сахалин;ы;б;;;;;PART;БЫ;PART;Ы
35608;;съездить;СЪЕЗДИТЬ;V pf - - inf - -;;;бы хотела бы _съездить_ на Сахалин .;ь;т;и;д;з;е;V;СЪЕЗДИТЬ;V pf - - inf - -;Ь
35609;;на;НА;PR;;;хотела бы съездить _на_ Сахалин . ;а;н;;;;;PR;НА;PR;А
35610;;Сахалин;САХАЛИН;S m inan acc sg;;;бы съездить на _Сахалин_ .  ;н;и;л;а;х;а;S;САХАЛИН;S m inan acc sg;Н
35611;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35612;;;;;;;;;;;;;;;;;
35613;# sent = 2660;;;;;;;;;;;;;;;;
35614;"<distinct form=""";;;;;;;;;;;;;;;;
35615;<dist>;счас;;;;;;;;;;;;;;;
35616;""">";;;;;;;;;;;;;;;;
35617;;Сейчас;СЕЙЧАС;ADV -;;; счас  _Сейчас_  , уже;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -;С
35618;</distinct>;;;;;;;;;;;;;;;;
35619;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35620;;уже;УЖЕ;ADV -;;;Сейчас  , _уже_ будучи взрослым человеком;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
35621;;будучи;БЫТЬ;V ipf praes - ger - -;;; , уже _будучи_ взрослым человеком .;и;ч;у;д;у;б;V;БЫТЬ;V ipf praes - ger - -;Ь
35622;;взрослым;ВЗРОСЛЫЙ;A - ins sg plen m -;;;, уже будучи _взрослым_ человеком . ;м;ы;л;с;о;р;A;ВЗРОСЛЫЙ;A - ins sg plen m -;Й
35623;;человеком;ЧЕЛОВЕК;S m anim ins sg;;;уже будучи взрослым _человеком_ .  ;м;о;к;е;в;о;S;ЧЕЛОВЕК;S m anim ins sg;К
35624;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35625;;;;;;;;;;;;;;;;;
35626;# sent = 2661;;;;;;;;;;;;;;;;
35627;;Я;Я;SPRO sg 1p - nom;;;.   _Я_ бы хотела съездить;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35628;;бы;БЫ;PART;;;  Я _бы_ хотела съездить в;ы;б;;;;;PART;БЫ;PART;Ы
35629;;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;; Я бы _хотела_ съездить в Калининград;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -;Ь
35630;;съездить;СЪЕЗДИТЬ;V pf - - inf - -;;;Я бы хотела _съездить_ в Калининград ,;ь;т;и;д;з;е;V;СЪЕЗДИТЬ;V pf - - inf - -;Ь
35631;;в;В;PR;;;бы хотела съездить _в_ Калининград , ;в;;;;;;PR;В;PR;В
35632;;Калининград;КАЛИНИНГРАД;S m inan acc sg;;;хотела съездить в _Калининград_ ,  вишь;д;а;р;г;н;и;S;КАЛИНИНГРАД;S m inan acc sg;Д
35633;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35634;"<distinct form=""";;;;;;;;;;;;;;;;
35635;<dist>;вишь;;;;;;;;;;;;;;;
35636;""">";;;;;;;;;;;;;;;;
35637;;видишь;ВИДЕТЬ;V ipf praes sg indic - 2p;;; вишь  _видишь_  , какой;ь;ш;и;д;и;в;V;ВИДЕТЬ;V ipf praes sg indic - 2p;Ь
35638;</distinct>;;;;;;;;;;;;;;;;
35639;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35640;;какой;КАКОЙ;APRO - nom sg plen m -;;;видишь  , _какой_ разброс : от;й;о;к;а;к;;APRO;КАКОЙ;A - nom sg plen m -;Й
35641;;разброс;РАЗБРОС;S m inan nom sg;;; , какой _разброс_ : от одного;с;о;р;б;з;а;S;РАЗБРОС;S m inan nom sg;С
35642;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
35643;;от;ОТ;PR;;;какой разброс : _от_ одного до другого;т;о;;;;;PR;ОТ;PR;Т
35644;;одного;ОДИН;ANUM - gen sg plen m -;;;разброс : от _одного_ до другого побережья;о;г;о;н;д;о;ANUM;ОДИН;A - gen sg plen m -;Н
35645;;до;ДО;PR;;;: от одного _до_ другого побережья .;о;д;;;;;PR;ДО;PR;О
35646;;другого;ДРУГОЙ;APRO - gen sg plen m -;;;от одного до _другого_ побережья . ;о;г;о;г;у;р;A;ДРУГОЙ;A - gen sg plen m -;Й
35647;;побережья;ПОБЕРЕЖЬЕ;S n inan gen sg;;;одного до другого _побережья_ .  ;я;ь;ж;е;р;е;S;ПОБЕРЕЖЬЕ;S n inan gen sg;Е
35648;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35649;;;;;;;;;;;;;;;;;
35650;# sent = 2662;;;;;;;;;;;;;;;;
35651;;Наверное;НАВЕРНОЕ;PARENTH;;;.   _Наверное_ , я бы;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35652;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35653;;я;Я;SPRO sg 1p - nom;;; Наверное , _я_ бы съездила на;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35654;;бы;БЫ;PART;;;Наверное , я _бы_ съездила на Камчатку;ы;б;;;;;PART;БЫ;PART;Ы
35655;;съездила;СЪЕЗДИТЬ;V pf praet sg indic f -;;;, я бы _съездила_ на Камчатку .;а;л;и;д;з;е;V;СЪЕЗДИТЬ;V pf praet sg indic f -;Ь
35656;;на;НА;PR;;;я бы съездила _на_ Камчатку . ;а;н;;;;;PR;НА;PR;А
35657;;Камчатку;КАМЧАТКА;S f inan acc sg;;;бы съездила на _Камчатку_ .  ;у;к;т;а;ч;м;S;КАМЧАТКА;S f inan acc sg;А
35658;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35659;;;;;;;;;;;;;;;;;
35660;# sent = 2663;;;;;;;;;;;;;;;;
35661;;А;А;PART;;;.   _А_ !  ;а;;;;;;PART;А;PART;А
35662;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
35663;;;;;;;;;;;;;;;;;
35664;# sent = 2664;;;;;;;;;;;;;;;;
35665;;Еще;ЕЩЕ;ADV -;;;!   _Еще_ мне интересно было;е;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
35666;;мне;Я;SPRO sg 1p - dat;;;  Еще _мне_ интересно было бы;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
35667;;интересно;ИНТЕРЕСНО;PRAEDIC -;;; Еще мне _интересно_ было бы съездить;о;н;с;е;р;е;ADV;ИНТЕРЕСНО;ADV -;О
35668;;было;БЫТЬ;V ipf praet sg indic n -;;;Еще мне интересно _было_ бы съездить на;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
35669;;бы;БЫ;PART;;;мне интересно было _бы_ съездить на Алтай;ы;б;;;;;PART;БЫ;PART;Ы
35670;;съездить;СЪЕЗДИТЬ;V pf - - inf - -;;;интересно было бы _съездить_ на Алтай ,;ь;т;и;д;з;е;V;СЪЕЗДИТЬ;V pf - - inf - -;Ь
35671;;на;НА;PR;;;было бы съездить _на_ Алтай , вот;а;н;;;;;PR;НА;PR;А
35672;;Алтай;АЛТАЙ;S m inan acc sg;;;бы съездить на _Алтай_ , вот ,;й;а;т;л;а;;S;АЛТАЙ;S m inan acc sg;Й
35673;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35674;;вот;ВОТ;PART;;;на Алтай , _вот_ , очень интересно;т;о;в;;;;PART;ВОТ;PART;Т
35675;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
